filename,microcode, Error
Tencent_LC21920900061_2022-01-08-02-14,revision=0x7000020,"[    8.209370] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.219197] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.208457] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.224653] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.289859] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2172490001A_2022-01-17-10-00,revision=0xd000280,"[    5.694389] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.690765] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.695093] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.681304] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.682153] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.684295] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    5.681952] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.690407] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.681473] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2192790002V_2022-01-08-00-51,,
Tencent_LC21A06900030_2022-01-08-02-15,revision=0x7000020,"[    8.212613] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.217049] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.200323] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C1790005X_2022-01-17-09-55,revision=0x7000020,"[    8.249157] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A199000C9_2022-01-08-00-56,,
Tencent_LC21C2290006N_2022-01-13-13-18,revision=0x7000020,"[    8.257618] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.255854] ERST: Error Record Serialization Table (ERST) support is initialized.
[    6.991400] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21A21900059_2022-01-08-00-53,,
Tencent_FX21B0500022R_2022-01-08-00-56,,
Tencent_LC21B2990001Q_2022-01-17-09-55,,
Tencent_LC21B1590002W_2022-01-07-17-23,,
